2023-10-11 00:05:23,970 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997123,"target":...bar_absolute":29.795}]}' [2462 bytes]
2023-10-11 00:05:28,980 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997128,"target":...bar_absolute":29.795}]}' [2462 bytes]
2023-10-11 00:05:29,619 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:05:29,619 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 4c 71 86 7b [binary, 4 bytes]
2023-10-11 00:05:29,668 | websockets.client | DEBUG | protocol | read_frame | < PONG 4c 71 86 7b [binary, 4 bytes]
2023-10-11 00:05:29,668 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:05:34,104 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997133,"target":...bar_absolute":29.795}]}' [2462 bytes]
2023-10-11 00:05:39,020 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997138,"target":...bar_absolute":29.795}]}' [2462 bytes]
2023-10-11 00:05:43,981 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997143,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:05:49,044 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997148,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:05:54,007 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997153,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:05:59,001 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997158,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:05:59,681 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:05:59,681 | websockets.client | DEBUG | protocol | write_frame_sync | > PING f1 f5 ad e6 [binary, 4 bytes]
2023-10-11 00:05:59,737 | websockets.client | DEBUG | protocol | read_frame | < PONG f1 f5 ad e6 [binary, 4 bytes]
2023-10-11 00:05:59,737 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:06:04,095 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997163,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:06:09,014 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997168,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:06:14,085 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997173,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:06:19,040 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997178,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:06:24,092 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997183,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:06:29,021 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997188,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:06:29,734 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:06:29,734 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 9b bb 07 e1 [binary, 4 bytes]
2023-10-11 00:06:29,773 | websockets.client | DEBUG | protocol | read_frame | < PONG 9b bb 07 e1 [binary, 4 bytes]
2023-10-11 00:06:29,773 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:06:34,116 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997193,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:06:39,031 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997198,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:06:44,031 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997203,"target":...bar_absolute":29.793}]}' [2454 bytes]
2023-10-11 00:06:49,036 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997208,"target":...bar_absolute":29.793}]}' [2454 bytes]
2023-10-11 00:06:54,032 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997213,"target":...bar_absolute":29.793}]}' [2454 bytes]
2023-10-11 00:06:59,053 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997218,"target":...bar_absolute":29.793}]}' [2454 bytes]
2023-10-11 00:06:59,783 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:06:59,783 | websockets.client | DEBUG | protocol | write_frame_sync | > PING 8c 3d 43 fd [binary, 4 bytes]
2023-10-11 00:06:59,822 | websockets.client | DEBUG | protocol | read_frame | < PONG 8c 3d 43 fd [binary, 4 bytes]
2023-10-11 00:06:59,822 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:07:04,144 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997223,"target":...bar_absolute":29.793}]}' [2454 bytes]
2023-10-11 00:07:09,050 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997228,"target":...bar_absolute":29.793}]}' [2454 bytes]
2023-10-11 00:07:14,043 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997233,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:07:19,077 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997238,"target":...bar_absolute":29.794}]}' [2458 bytes]
2023-10-11 00:07:24,065 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997243,"target":...bar_absolute":29.794}]}' [2458 bytes]
2023-10-11 00:07:29,079 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997248,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:07:29,822 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:07:29,822 | websockets.client | DEBUG | protocol | write_frame_sync | > PING bd 8f 53 da [binary, 4 bytes]
2023-10-11 00:07:29,859 | websockets.client | DEBUG | protocol | read_frame | < PONG bd 8f 53 da [binary, 4 bytes]
2023-10-11 00:07:29,859 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:07:34,195 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997253,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:07:39,065 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997258,"target":...bar_absolute":29.794}]}' [2450 bytes]
2023-10-11 00:07:44,057 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997263,"target":...bar_absolute":29.792}]}' [2450 bytes]
2023-10-11 00:07:49,099 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997268,"target":...bar_absolute":29.792}]}' [2450 bytes]
2023-10-11 00:07:54,063 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997273,"target":...bar_absolute":29.792}]}' [2450 bytes]
2023-10-11 00:07:59,102 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997278,"target":...bar_absolute":29.792}]}' [2450 bytes]
2023-10-11 00:07:59,872 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:07:59,872 | websockets.client | DEBUG | protocol | write_frame_sync | > PING b3 09 b1 3b [binary, 4 bytes]
2023-10-11 00:07:59,911 | websockets.client | DEBUG | protocol | read_frame | < PONG b3 09 b1 3b [binary, 4 bytes]
2023-10-11 00:07:59,911 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:08:04,191 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997283,"target":...bar_absolute":29.792}]}' [2450 bytes]
2023-10-11 00:08:09,083 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997288,"target":...bar_absolute":29.792}]}' [2450 bytes]
2023-10-11 00:08:14,085 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997293,"target":...bar_absolute":29.793}]}' [2458 bytes]
2023-10-11 00:08:19,550 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997298,"target":...bar_absolute":29.793}]}' [2466 bytes]
2023-10-11 00:08:24,079 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696997303,"target":...bar_absolute":29.793}]}' [2466 bytes]
